Symbol,Start_Date,End_Date,Observations,Coverage_Years,Pass_Min_History,Coverage_Score
BLUESTARCO,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
BODALCHEM,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1633,6.48015873015873,True,100.0
BOMDYEING,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
BORANA,2025-05-27 00:00:00+05:30,2026-08-04 00:00:00+05:30,296,1.1746031746031746,True,23.49206349206349
BOROLTD,2020-07-22 00:00:00+05:30,2026-08-04 00:00:00+05:30,1497,5.940476190476191,True,100.0
BORORENEW,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
BOROSCI,2024-06-07 00:00:00+05:30,2026-08-04 00:00:00+05:30,536,2.126984126984127,True,42.53968253968254
BOSCH-HCIL,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
BOSCHLTD,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1633,6.48015873015873,True,100.0
BPCL,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
BPL,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
BRIGADE,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
BRITANNIA,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
BSE,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
BSOFT,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
BUTTERFLY,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1633,6.48015873015873,True,100.0
CAMLINFINE,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1633,6.48015873015873,True,100.0
CAMPUS,2022-05-09 00:00:00+05:30,2026-08-04 00:00:00+05:30,1051,4.170634920634921,True,83.41269841269842
CAMS,2020-10-05 00:00:00+05:30,2026-08-04 00:00:00+05:30,1445,5.734126984126984,True,100.0
CANBK,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
CANFINHOME,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
CANTABIL,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1632,6.476190476190476,True,100.0
CAPACITE,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
