Symbol,Observations,Missing_Count,Missing_Pct,Coverage_Pct,Eligible
CARERATING.NS,1602,0,0.0,100.0,True
CARTRADE.NS,1195,407,0.2540574282147316,74.59425717852683,False
CARYSIL.NS,1342,260,0.16229712858926343,83.77028714107367,False
CASTROLIND.NS,1602,0,0.0,100.0,True
CBAZAAR.NS,625,977,0.6098626716604245,39.01373283395755,False
CCAVENUE.NS,1602,0,0.0,100.0,True
CCCL.NS,1602,0,0.0,100.0,True
CCHHL.NS,1602,0,0.0,100.0,True
CCL.NS,1602,0,0.0,100.0,True
CDSL.NS,1602,0,0.0,100.0,True
CEATLTD.NS,1602,0,0.0,100.0,True
CELEBRITY.NS,1602,0,0.0,100.0,True
CELLECOR.NS,672,930,0.5805243445692884,41.947565543071164,False
CELLO.NS,647,955,0.5961298377028714,40.387016229712856,False
CELLPOINT.NS,735,867,0.5411985018726592,45.88014981273408,False
CEMPRO.NS,1602,0,0.0,100.0,True
CENTENKA.NS,1602,0,0.0,100.0,True
CENTEXT.NS,1602,0,0.0,100.0,True
CENTRALBK.NS,1602,0,0.0,100.0,True
CENTRUM.NS,1602,0,0.0,100.0,True
CENTUM.NS,1602,0,0.0,100.0,True
CENTURYPLY.NS,1602,0,0.0,100.0,True
CERA.NS,1602,0,0.0,100.0,True
CEREBRAINT.NS,1602,0,0.0,100.0,True
CESC.NS,1602,0,0.0,100.0,True
CGCL.NS,1602,0,0.0,100.0,True
CGPOWER.NS,1602,0,0.0,100.0,True
CGRAPHICS.NS,544,1058,0.6604244694132334,33.95755305867666,False
CHALET.NS,1602,0,0.0,100.0,True
CHAMBLFERT.NS,1602,0,0.0,100.0,True
CHAVDA.NS,675,927,0.5786516853932584,42.134831460674164,False
CHEMBOND.NS,1602,0,0.0,100.0,True
CHEMCON.NS,1414,188,0.11735330836454431,88.26466916354558,False
CHEMFAB.NS,1602,0,0.0,100.0,True
CHEMPLASTS.NS,1193,409,0.25530586766541824,74.46941323345817,False
CHENNPETRO.NS,1602,0,0.0,100.0,True
CHEVIOT.NS,989,613,0.38264669163545567,61.73533083645444,False
CHOICEIN.NS,1037,565,0.35268414481897625,64.73158551810238,False
CHOLAFIN.NS,1602,0,0.0,100.0,True
CHOLAHLDNG.NS,1602,0,0.0,100.0,True
CIEINDIA.NS,1602,0,0.0,100.0,True
CINELINE.NS,1602,0,0.0,100.0,True
CINEVISTA.NS,1602,0,0.0,100.0,True
CIPLA.NS,1602,0,0.0,100.0,True
CLEAN.NS,1217,385,0.24032459425717853,75.96754057428214,False
CLEDUCATE.NS,1602,0,0.0,100.0,True
CLSEL.NS,1264,338,0.21098626716604243,78.90137328339576,False
