Symbol,Yahoo_Symbol,Raw_Beta,Beta,Observation_Count
CARBORUNIV,CARBORUNIV.NS,0.9339,0.9557,740
ERIS,ERIS.NS,0.4637,0.6407,738
CEMPRO,CEMPRO.NS,1.3037,1.2035,742
CGCL,CGCL.NS,0.873,0.9149,742
ATUL,ATUL.NS,0.8376,0.8912,742
GMDCLTD,GMDCLTD.NS,1.6057,1.4058,742
BAYERCROP,BAYERCROP.NS,0.5217,0.6795,742
ANANTRAJ,ANANTRAJ.NS,1.6971,1.4671,742
ELGIEQUIP,ELGIEQUIP.NS,1.0367,1.0246,742
TATACHEM,TATACHEM.NS,1.0031,1.0021,742
GRANULES,GRANULES.NS,1.0201,1.0135,740
CHAMBLFERT,CHAMBLFERT.NS,1.3011,1.2018,742
SAGILITY,SAGILITY.NS,0.9646,0.9763,397
TDPOWERSYS,TDPOWERSYS.NS,1.2176,1.1458,742
ONESOURCE,ONESOURCE.NS,0.3584,0.5701,347
CAMS,CAMS.NS,1.2356,1.1578,742
GABRIEL,GABRIEL.NS,1.1987,1.1332,742
REDINGTON,REDINGTON.NS,0.9962,0.9975,742
SANSERA,SANSERA.NS,1.1124,1.0753,742
SYNGENE,SYNGENE.NS,0.7366,0.8235,742
SARDAEN,SARDAEN.NS,1.166,1.1112,742
BBOX,BBOX.NS,1.0826,1.0554,742
EIHOTEL,EIHOTEL.NS,0.9367,0.9576,742
GPIL,GPIL.NS,1.0251,1.0168,742
CAPLIPOINT,CAPLIPOINT.NS,1.0045,1.003,740
PFOCUS,PFOCUS.NS,0.9483,0.9654,740
CASTROLIND,CASTROLIND.NS,0.9534,0.9688,742
INDIACEM,INDIACEM.NS,1.1101,1.0738,742
VTL,VTL.NS,0.7075,0.804,742
RATNAMANI,RATNAMANI.NS,0.6785,0.7846,740
SUNDRMFAST,SUNDRMFAST.NS,0.5312,0.6859,740
ABDL,ABDL.NS,1.176,1.1179,487
KANSAINER,KANSAINER.NS,0.673,0.7809,738
KAJARIACER,KAJARIACER.NS,0.7788,0.8518,742
J&KBANK,J&KBANK.NS,1.4787,1.3207,742
FSL,FSL.NS,1.179,1.12,742
CIEINDIA,CIEINDIA.NS,0.8713,0.9137,738
BIKAJI,BIKAJI.NS,0.6485,0.7645,740
EMAMILTD,EMAMILTD.NS,0.6241,0.7482,742
CHENNPETRO,CHENNPETRO.NS,1.0356,1.0238,742
THANGAMAYL,THANGAMAYL.NS,0.9869,0.9912,742
PSB,PSB.NS,1.7852,1.5261,742
LMW,LMW.NS,0.9113,0.9405,738
CROMPTON,CROMPTON.NS,0.8885,0.9253,742
INOXINDIA,INOXINDIA.NS,0.861,0.9068,614
NAVA,NAVA.NS,1.2219,1.1487,742
COHANCE,COHANCE.NS,0.5953,0.7288,742
BRIGADE,BRIGADE.NS,1.1845,1.1236,742
ZYDUSWELL,ZYDUSWELL.NS,0.5181,0.6771,742
JBMA,JBMA.NS,1.4071,1.2728,742
ZENTEC,ZENTEC.NS,1.016,1.0107,742
CENTURYPLY,CENTURYPLY.NS,0.787,0.8573,740
DCMSHRIRAM,DCMSHRIRAM.NS,0.712,0.807,740
CHALET,CHALET.NS,0.9093,0.9392,742
GALLANTT,GALLANTT.NS,1.1806,1.121,740
FINCABLES,FINCABLES.NS,1.0236,1.0158,742
SHRIPISTON,SHRIPISTON.NS,1.0837,1.0561,740
AARTIIND,AARTIIND.NS,1.4558,1.3054,742
IGIL,IGIL.NS,1.361,1.2419,364
NIVABUPA,NIVABUPA.NS,0.5975,0.7303,393
POLYMED,POLYMED.NS,0.8006,0.8664,742
AETHER,AETHER.NS,0.572,0.7132,742
NATCOPHARM,NATCOPHARM.NS,0.8819,0.9209,742
JUBLPHARMA,JUBLPHARMA.NS,0.8513,0.9003,740
JYOTICNC,JYOTICNC.NS,1.3887,1.2604,599
MINDACORP,MINDACORP.NS,1.1096,1.0734,740
CHOICEIN,CHOICEIN.NS,1.1291,1.0865,740
CCL,CCL.NS,0.4944,0.6613,742
ARE&M,ARE&M.NS,1.1341,1.0899,742
INOXWIND,INOXWIND.NS,1.7317,1.4902,742
JINDALSAW,JINDALSAW.NS,1.5224,1.35,742
USHAMART,USHAMART.NS,1.0084,1.0056,742
BEML,BEML.NS,1.5795,1.3882,742
APLLTD,APLLTD.NS,0.7424,0.8274,742
KSB,KSB.NS,0.6713,0.7798,742
JSWDULUX,JSWDULUX.NS,0.4549,0.6348,742
GRWRHITECH,GRWRHITECH.NS,1.4196,1.2811,742
VENTIVE,VENTIVE.NS,1.2309,1.1547,366
FINEORG,FINEORG.NS,0.794,0.862,742
APOLLO,APOLLO.NS,1.1358,1.091,742
BASF,BASF.NS,0.8752,0.9164,742
THELEELA,THELEELA.NS,0.5873,0.7235,260
AVANTIFEED,AVANTIFEED.NS,1.3571,1.2393,740
CONCORDBIO,CONCORDBIO.NS,0.7241,0.8152,700
KFINTECH,KFINTECH.NS,1.2112,1.1415,742
MAHSCOOTER,MAHSCOOTER.NS,0.9564,0.9708,740
AGARWALEYE,AGARWALEYE.NS,0.3395,0.5575,335
SOBHA,SOBHA.NS,1.2578,1.1727,740
ANURAS,ANURAS.NS,0.4663,0.6424,740
DOMS,DOMS.NS,0.8646,0.9093,615
PGEL,PGEL.NS,1.6304,1.4224,742
TBOTEK,TBOTEK.NS,1.1469,1.0984,521
NSLNISP,NSLNISP.NS,1.434,1.2908,742
SHAILY,SHAILY.NS,0.8387,0.8919,742
RAINBOW,RAINBOW.NS,0.3766,0.5823,740
AZAD,AZAD.NS,1.2478,1.166,612
KIRLOSBROS,KIRLOSBROS.NS,1.4204,1.2817,742
VINATIORGA,VINATIORGA.NS,0.6111,0.7395,742
HONASA,HONASA.NS,0.6997,0.7988,644
SCI,SCI.NS,1.62,1.4154,742
ASTRAMICRO,ASTRAMICRO.NS,1.2153,1.1442,742
APTUS,APTUS.NS,0.8672,0.9111,742
JSWHL,JSWHL.NS,0.7938,0.8619,742
PRIVISCL,PRIVISCL.NS,0.6115,0.7397,740
KEC,KEC.NS,1.1298,1.0869,742
INDIGRID,INDIGRID.NS,0.1009,0.3976,739
DEVYANI,DEVYANI.NS,0.86,0.9062,742
LTFOODS,LTFOODS.NS,1.3914,1.2623,742
SPLPETRO,SPLPETRO.NS,0.7032,0.8012,742
VIJAYA,VIJAYA.NS,0.4776,0.65,740
ABREL,ABREL.NS,1.4475,1.2998,742
WELSPUNLIV,WELSPUNLIV.NS,1.3835,1.257,742
TEGA,TEGA.NS,0.8341,0.8889,740
CEATLTD,CEATLTD.NS,1.047,1.0315,742
INGERRAND,INGERRAND.NS,0.8921,0.9277,742
VGUARD,VGUARD.NS,0.5766,0.7163,740
PARADEEP,PARADEEP.NS,0.9527,0.9683,742
ALIVUS,ALIVUS.NS,0.4898,0.6582,740
ARVIND,ARVIND.NS,0.9008,0.9335,742
FIVESTAR,FIVESTAR.NS,0.8681,0.9116,740
ECLERX,ECLERX.NS,0.9538,0.969,742
ENGINERSIN,ENGINERSIN.NS,1.6794,1.4552,742
EIDPARRY,EIDPARRY.NS,0.9195,0.9461,740
HAPPYFORGE,HAPPYFORGE.NS,0.8577,0.9046,613
IRCON,IRCON.NS,1.8152,1.5462,742
