Symbol,Risk_Contribution,Risk_Contribution_Pct
AVROIND.NS,4.291177600870506e-05,0.00026654567858993563
AVSL.NS,2.4116158132047325e-06,1.4979705647663608e-05
AVTNPL.NS,9.951932781959823e-05,0.0006181624074731358
AWFIS.NS,3.857347069490735e-05,0.00023959837784055728
AWHCL.NS,7.714188180992441e-05,0.00047916532819708397
AWL.NS,5.71769306887835e-05,0.00035515341492833765
AXISBANK.NS,6.45386931277053e-05,0.0004008808619699667
AXISCADES.NS,0.00010254361133799532,0.000636947686891447
AXITA.NS,2.8328151668764174e-05,0.00017595977403073748
AYMSYNTEX.NS,8.731195062901305e-05,0.0005423365167803861
AZAD.NS,5.048855009731232e-05,0.0003136086663945135
BABAFP.NS,3.0307777570678997e-05,0.00018825618258006108
BAFNAPH.NS,2.7062030540638492e-05,0.00016809528678125022
BAGFILMS.NS,8.810005788085382e-05,0.0005472318299503871
BAHETI.NS,3.887160460956889e-05,0.00024145023096772714
BAIDFIN.NS,3.8717288681606555e-05,0.0002404917005231328
BAJAJ-AUTO.NS,4.981350221579442e-05,0.00030941561934786163
BAJAJCON.NS,7.390769329524845e-05,0.00045907622789610357
BAJAJELEC.NS,6.495258083640152e-05,0.00040345171758200405
BAJAJFINSV.NS,6.72235347944724e-05,0.00041755770479814046
BAJAJHCARE.NS,6.920556885673315e-05,0.0004298690715895426
BAJAJHIND.NS,0.0001265473905328462,0.0007860467037421267
BAJAJHLDNG.NS,5.645211734740422e-05,0.00035065125067650646
BAJEL.NS,5.416132405412101e-05,0.0003364220318079241
BAJFINANCE.NS,7.115017427541278e-05,0.000441947951074896
BALAJITELE.NS,0.00011388959303752692,0.0007074230359135231
BALAMINES.NS,0.0001036636168173466,0.0006439045795741823
BALAXI.NS,7.751791840493321e-05,0.0004815010723380614
BALKRISHNA.NS,7.452739004491129e-05,0.00046292546244247493
BALKRISIND.NS,6.370781140332751e-05,0.00039571985597927254
BALMLAWRIE.NS,9.698875766289542e-05,0.0006024438191886295
BALPHARMA.NS,9.713867915463759e-05,0.0006033750536764196
BALRAMCHIN.NS,8.792859344093316e-05,0.00054616678185069
BALUFORGE.NS,6.222444092508832e-05,0.00038650592853328817
BANARBEADS.NS,6.99072520648531e-05,0.00043422756345959607
