Symbol,Mean_Return,Annualized_Return,Volatility,Annualized_Volatility,Sharpe,Observations
AGROPHOS.NS,0.0002352792998664917,0.05929038356635591,0.03864397184134321,0.6134540349838615,0.09665008327464289,1599
AGUL.NS,0.0007731956523170665,0.19484530438390077,0.03587174946184619,0.5694463690131605,0.3421662073665759,778
AHIMSA.NS,6.610578543686094e-05,0.016658657930088958,0.015841016842359425,0.2514683464756123,0.06624554606400347,1599
AHLADA.NS,0.000443567751091616,0.11177907327508724,0.03412530901089223,0.5417224863363145,0.20634010234844133,1599
AHLEAST.NS,0.0007159656190499604,0.18042333600059002,0.02663065256677246,0.42274850365826305,0.4267864568160334,1599
AHLUCONT.NS,0.0008873561952631298,0.22361376120630871,0.023438101477824134,0.37206832628290876,0.6010018736082362,1599
AHLWEST.NS,0.00043988195634275703,0.11085025299837477,0.018721144570032683,0.2971889567447623,0.3729958683948589,1599
AIAENG.NS,0.0008255178290960031,0.20803049293219278,0.019155333273122372,0.30408148872745616,0.6841274482138816,1599
AIIL.NS,0.002613805799766014,0.6586790615410356,0.034002216685653626,0.5397684562510223,1.2202992855786914,533
AILIMITED.NS,0.0011132267371225277,0.280533137754877,0.03363124774987656,0.5338795069618438,0.5254615209924636,1221
AIRAN.NS,0.0006750313895326777,0.17010791016223478,0.03386354997165787,0.5375671904088906,0.3164402761129178,1599
AIROLAM.NS,0.0014569909586220368,0.3671617215727533,0.03485132454318853,0.5532476256148716,0.6636480747019834,1599
AISL.NS,0.0010754801277613152,0.2710209921958514,0.03159253533412544,0.5015159506807008,0.5404035341807141,1599
AJANTPHARM.NS,0.0011626086880383282,0.2929773893856587,0.019571149331880557,0.3106823640231832,0.9430126177480632,1599
AJMERA.NS,0.0016925299104801768,0.42651753744100457,0.03434038796812041,0.5451367589347277,0.7824046543375255,1599
AJOONI.NS,0.00126932197712022,0.3198691382342954,0.03204507524405945,0.5086997990408025,0.6287974535029035,1599
AKASH.NS,5.411409556086966e-05,0.013636752081339154,0.03579090863993319,0.5681630607497774,0.024001476025814473,1599
AKG.NS,0.0007289478084859021,0.18369484773844733,0.03342685269236159,0.5306348360134717,0.34617939733942327,1599
AKI.NS,-0.0009103049861365497,-0.22939685650641053,0.03254135220479806,0.5165779515579545,-0.44407016562470275,788
AKSHAR.NS,-0.0016792528281524418,-0.42317171269441534,0.03174461890065324,0.5039302024538946,-0.8397427076880394,1006
AKSHARCHEM.NS,0.0004001074542364227,0.10082707846757852,0.032388116005034315,0.5141454022993895,0.19610615599527698,1599
AKSHOPTFBR.NS,0.0005977096812490015,0.15062283967474838,0.03568085990376704,0.5664160912218218,0.2659226000268431,1599
ALANKIT.NS,0.0003197604056843188,0.08057962223244834,0.030956533055538058,0.4914197275062249,0.16397311243763127,1599
ALBERTDAVD.NS,0.0007049826177052682,0.17765561966172758,0.025895799456614958,0.41108307218042844,0.4321647659180497,1599
ALEMBICLTD.NS,0.0006498578923348626,0.16376418886838537,0.027108412334572986,0.430332704850456,0.3805525051257601,1599
ALICON.NS,0.0007493680532037495,0.18884074940734488,0.030059438442217583,0.47717879201017516,0.39574422117929775,1599
ALIVUS.NS,0.0004993765915890357,0.125842901080437,0.020560470734296277,0.32638735440821715,0.3855630415234885,1201
ALKALI.NS,0.001108988957306868,0.2794652172413308,0.03599591544784304,0.5714174429346052,0.48907365481545806,1599
ALKEM.NS,0.0007160597629060011,0.18044706025231227,0.016149003645587006,0.2563574854061921,0.7038884000847425,1599
ALKYLAMINE.NS,0.0012071259947361848,0.30419575067351856,0.02607384273508897,0.41390942160512156,0.7349331394628843,1599
ALLCARGO.NS,0.0004492753294048783,0.11321738301002933,0.028710967436637615,0.45577247842450047,0.24840767788655319,1599
ALLDIGI.NS,0.0010671489104465363,0.2689215254325271,0.028196325809920837,0.4476027958728145,0.6008039447299178,1599
ALLETEC.NS,0.0008840202411354274,0.2227731007661277,0.03553484253723483,0.564098137388177,0.39491905042903763,860
ALMONDZ.NS,0.0017532476397858399,0.44181840522603166,0.03336717436217616,0.5296874718914902,0.834111487757711,1599
ALOKINDS.NS,0.0005539123916697926,0.13958592270078773,0.03368569899778829,0.5347438937251532,0.26103322420083935,1599
ALPA.NS,0.0015459658311448975,0.3895833894485142,0.03581948050241315,0.5686166250054727,0.6851424533089664,1599
ALPEXSOLAR.NS,0.0030014453580784104,0.7563642302357594,0.03972518845488373,0.6306178166207794,1.1994019361660333,576
ALPHA.NS,0.00046364778114128564,0.11683924084760398,0.01305290280063027,0.20720840818779723,0.563873068035493,1104
ALPHAGEO.NS,0.0007436867759861073,0.18740906754849904,0.03425624940835819,0.5438011007059157,0.3446279665583993,1599
