Symbol,Volatility_252D,ATR_Pct
DREDGECORP,0.5165,0.0301
DRONE,0.5626,0.0185
DRREDDY,0.2487,0.0053
DRSDILIP,0.4053,0.0057
DSSL,0.6625,0.038
DTIL,0.4539,0.012
DTL,0.6067,0.0137
DUCOL,0.5227,0.0291
DUCON,0.5822,0.0249
DUGLOBAL,0.6081,0.0359
DURLAX,0.5156,0.0253
DVL,0.4908,0.0115
DWARKESH,0.4748,0.0138
DYCL,0.5675,0.0186
DYNAMATECH,0.5028,0.0208
DYNAMIC,0.6154,0.0345
DYNPRO,0.5298,0.0236
E2E,0.552,0.04
EASEMYTRIP,0.5366,0.0351
EASTSILK,3.0,0.0167
ECAPINSURE,0.2157,0.0111
ECLERX,0.4267,0.0229
ECOSMOBLTY,0.591,0.0258
EDELWEISS,0.5084,0.0231
EFACTOR,0.6752,0.0203
EFFWA,0.5284,0.0261
EFORCE,0.5444,0.028
EICHERMOT,0.299,0.0115
EIDPARRY,0.4006,0.0146
EIEL,0.5708,0.0237
EIFFL,0.4383,0.0107
EIHAHOTELS,0.4318,0.0124
EIHOTEL,0.4142,0.0166
EIMCOELECO,0.515,0.0122
EKC,0.5667,0.0177
ELDEHSG,0.4328,0.0164
ELECON,0.5546,0.0184
ELECTCAST,0.5153,0.0237
ELECTHERM,0.5618,0.0588
ELGIEQUIP,0.4612,0.0143
ELGIRUBCO,0.6074,0.0375
ELIN,0.4706,0.0167
EMAMILTD,0.345,0.0087
EMAMIPAP,0.4102,0.0201
EMAMIREAL,0.5538,0.0158
EMBASSY,0.2242,0.0073
EMBDL,0.5829,0.0313
EMCURE,0.3682,0.0139
EMIL,0.4598,0.0185
EMKAY,0.5809,0.0456
EMKAYTOOLS,0.5457,0.0273
EMMBI,0.4933,0.0194
EMMIL,0.5514,0.0143
EMSLIMITED,0.5173,0.0297
EMUDHRA,0.4132,0.0097
EMULTIMQ,0.1812,0.0095
ENDURANCE,0.327,0.012
ENERGYDEV,0.5546,0.0148
ENFUSE,0.6373,0.0343
ENGINERSIN,0.4228,0.0172
ENIL,0.4536,0.0135
ENSER,0.8797,0.0196
ENTERO,0.4083,0.0151
EPACK,0.5168,0.0142
EPIGRAL,0.4866,0.0242
EPL,0.3775,0.0153
EQUIPPP,0.7904,0.0276
EQUITASBNK,0.3773,0.019
ERIS,0.3045,0.0123
ESABINDIA,0.3842,0.0182
ESAFSFB,0.3646,0.0202
ESCONET,0.5973,0.0187
ESCORTS,0.3618,0.0099
ESFL,0.5817,0.0143
ESG,0.1379,0.0066
ESSARSHPNG,0.6121,0.015
ESSENTIA,0.5538,0.0215
ESTER,0.5101,0.0139
ETERNAL,0.4755,0.0185
ETHOSLTD,0.3811,0.0122
EUREKAFORB,0.3443,0.0121
EUROTEXIND,0.5115,0.0571
EVEREADY,0.4133,0.0184
EVERESTIND,0.4897,0.0183
EVINDIA,0.1852,0.0097
EXCELINDUS,0.4525,0.01
EXICOM,0.6233,0.0529
EXIDEIND,0.3062,0.0157
EXPLEOSOL,0.455,0.0192
EXXARO,0.461,0.0306
FACT,0.6174,0.0175
FAIRCHEMOR,0.4768,0.0115
FALCONTECH,0.6044,0.0232
FAZE3Q,0.5463,0.0173
FCL,0.5388,0.0379
FCSSOFT,1.0083,0.0245
FDC,0.3355,0.0185
FEDERALBNK,0.3526,0.0108
FEDFINA,0.3487,0.0211
FEL,0.5476,0.0117
FELDVR,0.5635,0.0239
FELIX,0.5308,0.0172
FIBERWEB,0.5148,0.0129
FIDEL,0.6197,0.0224
FIEMIND,0.4614,0.0162
FILATEX,0.4962,0.0242
FILATFASH,0.606,0.028
FINCABLES,0.4106,0.0276
FINEORG,0.3699,0.0149
FINOPB,0.5036,0.0278
FINPIPE,0.3797,0.0154
FIRSTCRY,0.506,0.0091
FIVESTAR,0.4009,0.0169
FLAIR,0.3808,0.0161
FLEXITUFF,0.5705,0.0114
FLFL,0.5549,0.011
FLUOROCHEM,0.4115,0.0105
FMGOETZE,0.3745,0.0144
FMNL,0.5481,0.0178
FOCUS,0.495,0.0177
FONEBOX,0.5745,0.017
FOODSIN,0.5158,0.0171
FORCEMOT,0.5096,0.0285
FORTIS,0.3236,0.0087
FOSECOIND,0.4039,0.0156
FROG,0.6147,0.0245
FSL,0.4519,0.0119
FUSION,0.4399,0.0211
GABRIEL,0.4731,0.0285
GAEL,0.4646,0.0135
GAIL,0.3453,0.011
GALAPREC,0.5413,0.0281
GALAXYSURF,0.3018,0.0117
GALLANTT,0.5413,0.018
GANDHAR,0.3774,0.0144
GANDHITUBE,0.4316,0.006
GANECOS,0.4444,0.0147
GANESHBE,0.4338,0.0275
GANESHHOU,0.5309,0.0158
GANGAFORGE,0.5167,0.0166
GANGESSECU,0.5436,0.0118
GARFIBRES,0.3606,0.0132
GARUDA,0.6384,0.015
