Symbol,Yahoo_Symbol,Company_Name,Sector,Industry,Last_Updated,Market_Cap,Last_Close,Avg_Volume,ADV,History_Days,Missing_Close,Exchange,Country,Currency,Asset_Class,Metadata_Source,Market_Cap_Category,Liquidity_Category
BRITANNIA,BRITANNIA.NS,Britannia Industries Limited,Consumer Defensive,Packaged Foods,2026-06-20,1236136095072.0,5146.0,357044.28167877323,1837349873.5189672,1239,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
IRFC,IRFC.NS,Indian Railway Finance Corporation Limited,Financial Services,Credit Services,2026-06-20,1234320351818.0847,95.3000030517578,37025742.00968523,3528553326.5166,1239,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
APOLLOHOSP,APOLLOHOSP.NS,Apollo Hospitals Enterprise Limited,Healthcare,Medical Care Facilities,2026-06-20,1224398246683.5,8511.0,526156.2001614205,4478115419.57385,1239,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
PNB,PNB.NS,Punjab National Bank,Financial Services,Banks - Regional,2026-06-20,1215263796606.7444,106.43000030517578,46675196.85794996,4967641215.835753,1239,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
MUTHOOTFIN,MUTHOOTFIN.NS,Muthoot Finance Limited,Financial Services,Credit Services,2026-06-20,1208620846998.0,3030.0,720480.0460048426,2183054539.3946733,1239,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
VEDL,VEDL.NS,Vedanta Limited,Basic Materials,Other Industrial Metals & Mining,2026-06-20,1192526425119.7815,308.54998779296875,13440793.31557708,4147156613.4491234,1239,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
HDFCLIFE,HDFCLIFE.NS,HDFC Life Insurance Company Limited,Financial Services,Insurance - Life,2026-06-20,1187762732396.9636,556.25,3779989.837772397,2102619347.260896,1239,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
CANBK,CANBK.NS,Canara Bank,Financial Services,Banks - Regional,2026-06-20,1176191332275.3416,130.97999572753906,42865215.52945924,5614485746.908612,1239,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
JINDALSTEL,JINDALSTEL.NS,Jindal Steel Limited,Basic Materials,Steel,2026-06-20,1161869682805.318,1147.4000244140625,3602090.703793382,4133038961.474194,1239,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
BOSCHLTD,BOSCHLTD.NS,Bosch Limited,Consumer Cyclical,Auto Parts,2026-06-20,1153444990500.0,39060.0,33685.96042003231,1315773614.006462,1238,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
LTM,LTM.NS,LTM Limited,Technology,Information Technology Services,2026-06-20,1134290291314.9907,3830.0,409674.5875706215,1569053670.3954802,1239,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
CIPLA,CIPLA.NS,Cipla Limited,Healthcare,Drug Manufacturers - Specialty & Generic,2026-06-20,1126944215820.0,1386.5999755859375,1885226.631961259,2614055201.851441,1239,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
INDIANB,INDIANB.NS,Indian Bank,Financial Services,Banks - Regional,2026-06-20,1121482177695.7373,833.0,2380445.6989507666,1982911267.2259889,1239,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
ZYDUSLIFE,ZYDUSLIFE.NS,Zydus Lifesciences Limited,Healthcare,Drug Manufacturers - Specialty & Generic,2026-06-20,1113699829264.519,1102.5,1464978.0169491526,1615138263.6864407,1239,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
BAJAJHLDNG,BAJAJHLDNG.NS,Bajaj Holdings & Investment Limited,Financial Services,Asset Management,2026-06-20,1113380274040.0,10113.0,65018.179176755446,657528846.0145278,1239,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
INDUSTOWER,INDUSTOWER.NS,Indus Towers Limited,Communication Services,Telecom Services,2026-06-20,1108015280054.4707,420.8999938964844,9052585.27118644,3810233085.3897777,1239,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
GAIL,GAIL.NS,GAIL (India) Limited,Utilities,Utilities - Regulated Gas,2026-06-20,1101851858613.2705,169.3300018310547,15810606.31638418,2677209996.5034184,1239,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
TATACONSUM,TATACONSUM.NS,Tata Consumer Products Limited,Consumer Defensive,Packaged Foods,2026-06-20,1092766256603.0771,1101.0,1666635.9588377725,1834966190.6803875,1239,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
GMRAIRPORT,GMRAIRPORT.NS,GMR Airports Limited,Industrials,Airports & Air Services,2026-06-20,1080288803870.37,103.41999816894533,20047287.202582728,2073290405.7834263,1239,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
MARICO,MARICO.NS,Marico Limited,Consumer Defensive,Household & Personal Products,2026-06-20,1061839224929.95,818.5,1891386.263922518,1548099657.020581,1239,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
DRREDDY,DRREDDY.NS,Dr. Reddy's Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic,2026-06-20,1061280604377.5,1269.300048828125,2160931.2364810333,2742870123.979596,1239,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
GODREJCP,GODREJCP.NS,Godrej Consumer Products Limited,Consumer Defensive,Household & Personal Products,2026-06-20,1046369883549.0428,1029.699951171875,1283288.7288135593,1321402341.3987396,1239,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
LUPIN,LUPIN.NS,Lupin Limited,Healthcare,Drug Manufacturers - Specialty & Generic,2026-06-20,1044547728492.0,2288.60009765625,1203287.9079903148,2753844823.735219,1239,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
HDFCAMC,HDFCAMC.NS,HDFC Asset Management Company Limited,Financial Services,Asset Management,2026-06-20,1032840015513.0,2448.89990234375,985373.4882970136,2413081039.262677,1239,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
AMBUJACEM,AMBUJACEM.NS,Ambuja Cements Limited,Basic Materials,Building Materials,2026-06-20,1028341607592.2205,417.7999877929688,5032358.554479419,2102519342.6313431,1239,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
JSWENERGY,JSWENERGY.NS,JSW Energy Limited,Utilities,Utilities - Independent Power Producers,2026-06-20,1013856805993.3586,555.3499755859375,2944269.140435836,1635099795.2594705,1239,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
