Symbol,Yahoo_Symbol,Company_Name,Sector,Industry,Market_Cap
CENTENKA,CENTENKA.NS,,,,0
CENTEXT,CENTEXT.NS,,,,0
CENTRALBK,CENTRALBK.NS,,,,0
CENTRUM,CENTRUM.NS,,,,0
CENTUM,CENTUM.NS,,,,0
CENTURYPLY,CENTURYPLY.NS,,,,0
CERA,CERA.NS,,,,0
CEREBRAINT,CEREBRAINT.NS,,,,0
CESC,CESC.NS,,,,0
CEWATER,CEWATER.NS,,,,0
CGCL,CGCL.NS,,,,0
CGPOWER,CGPOWER.NS,,,,0
CGRAPHICS,CGRAPHICS.NS,,,,0
CHALET,CHALET.NS,,,,0
CHAMBLFERT,CHAMBLFERT.NS,,,,0
CHAVDA,CHAVDA.NS,,,,0
CHEMBOND,CHEMBOND.NS,,,,0
CHEMBONDCH,CHEMBONDCH.NS,,,,0
CHEMCON,CHEMCON.NS,,,,0
CHEMFAB,CHEMFAB.NS,,,,0
CHEMICAL,CHEMICAL.NS,,,,0
CHEMPLASTS,CHEMPLASTS.NS,,,,0
CHENNPETRO,CHENNPETRO.NS,,,,0
CHEVIOT,CHEVIOT.NS,,,,0
CHOICEIN,CHOICEIN.NS,,,,0
CHOLAFIN,CHOLAFIN.NS,,,,0
CHOLAHLDNG,CHOLAHLDNG.NS,,,,0
CIEINDIA,CIEINDIA.NS,,,,0
CIFL,CIFL.NS,,,,0
CIGNITITEC,CIGNITITEC.NS,,,,0
CINELINE,CINELINE.NS,,,,0
CINEVISTA,CINEVISTA.NS,,,,0
CIPLA,CIPLA.NS,,,,0
CLEAN,CLEAN.NS,,,,0
CLEANMAX,CLEANMAX.NS,,,,0
CLEDUCATE,CLEDUCATE.NS,,,,0
CLSEL,CLSEL.NS,,,,0
CLSL,CLSL.NS,,,,0
CMNL,CMNL.NS,,,,0
CMPDI,CMPDI.NS,,,,0
CMRSL,CMRSL.NS,,,,0
CMSINFO,CMSINFO.NS,,,,0
CNL,CNL.NS,,,,0
COALINDIA,COALINDIA.NS,,,,0
COASTCORP,COASTCORP.NS,,,,0
COCHINSHIP,COCHINSHIP.NS,,,,0
COCKERILL,COCKERILL.NS,,,,0
COFFEEDAY,COFFEEDAY.NS,,,,0
COFORGE,COFORGE.NS,,,,0
COHANCE,COHANCE.NS,,,,0
COLPAL,COLPAL.NS,,,,0
COMFINTE,COMFINTE.NS,,,,0
COMMITTED,COMMITTED.NS,,,,0
COMPINFO,COMPINFO.NS,,,,0
COMPUSOFT,COMPUSOFT.NS,,,,0
COMSYN,COMSYN.NS,,,,0
CONCOR,CONCOR.NS,,,,0
CONCORDBIO,CONCORDBIO.NS,,,,0
CONFIPET,CONFIPET.NS,,,,0
CONS,CONS.NS,,,,0
CONSOFINVT,CONSOFINVT.NS,,,,0
CONSUMER,CONSUMER.NS,,,,0
CONTI,CONTI.NS,,,,0
CONTROLPR,CONTROLPR.NS,,,,0
COOLCAPS,COOLCAPS.NS,,,,0
CORALFINAC,CORALFINAC.NS,,,,0
CORDSCABLE,CORDSCABLE.NS,,,,0
COROMANDEL,COROMANDEL.NS,,,,0
CORONA,CORONA.NS,,,,0
COSMOFIRST,COSMOFIRST.NS,,,,0
COUNCODOS,COUNCODOS.NS,,,,0
CPCAP,CPCAP.NS,,,,0
CPEDU,CPEDU.NS,,,,0
CPPLUS,CPPLUS.NS,,,,0
CPS,CPS.NS,,,,0
CRAFTSMAN,CRAFTSMAN.NS,,,,0
CRAMC,CRAMC.NS,,,,0
CRAYONS,CRAYONS.NS,,,,0
CREATIVEYE,CREATIVEYE.NS,,,,0
CREDITACC,CREDITACC.NS,,,,0
CREST,CREST.NS,,,,0
CRISIL,CRISIL.NS,,,,0
CRIZAC,CRIZAC.NS,,,,0
CROMPTON,CROMPTON.NS,,,,0
CROWN,CROWN.NS,,,,0
CSBBANK,CSBBANK.NS,,,,0
CSLFINANCE,CSLFINANCE.NS,,,,0
CTE,CTE.NS,,,,0
CUB,CUB.NS,,,,0
CUBEXTUB,CUBEXTUB.NS,,,,0
CUMMINSIND,CUMMINSIND.NS,,,,0
CUPID,CUPID.NS,,,,0
CURAA,CURAA.NS,,,,0
CYBERMEDIA,CYBERMEDIA.NS,,,,0
CYBERTECH,CYBERTECH.NS,,,,0
CYIENT,CYIENT.NS,,,,0
CYIENTDLM,CYIENTDLM.NS,,,,0
DABUR,DABUR.NS,,,,0
DAICHI,DAICHI.NS,,,,0
DALBHARAT,DALBHARAT.NS,,,,0
DALMIASUG,DALMIASUG.NS,,,,0
DAMCAPITAL,DAMCAPITAL.NS,,,,0
DAMODARIND,DAMODARIND.NS,,,,0
DANGEE,DANGEE.NS,,,,0
DATAMATICS,DATAMATICS.NS,,,,0
DATAPATTNS,DATAPATTNS.NS,,,,0
DAVANGERE,DAVANGERE.NS,,,,0
DBCORP,DBCORP.NS,,,,0
DBEIL,DBEIL.NS,,,,0
DBL,DBL.NS,,,,0
DBOL,DBOL.NS,,,,0
DBREALTY,DBREALTY.NS,,,,0
DBSTOCKBRO,DBSTOCKBRO.NS,,,,0
DCAL,DCAL.NS,,,,0
DCBBANK,DCBBANK.NS,,,,0
DCG,DCG.NS,,,,0
DCI,DCI.NS,,,,0
DCM,DCM.NS,,,,0
DCMFINSERV,DCMFINSERV.NS,,,,0
DCMNVL,DCMNVL.NS,,,,0
DCMSHRIRAM,DCMSHRIRAM.NS,,,,0
DCMSIL,DCMSIL.NS,,,,0
DCMSRIND,DCMSRIND.NS,,,,0
DCW,DCW.NS,,,,0
DCXINDIA,DCXINDIA.NS,,,,0
DDEVPLSTIK,DDEVPLSTIK.NS,,,,0
DECCANCE,DECCANCE.NS,,,,0
DEEDEV,DEEDEV.NS,,,,0
DEEM,DEEM.NS,,,,0
DEEPAKFERT,DEEPAKFERT.NS,,,,0
DEEPAKNTR,DEEPAKNTR.NS,,,,0
DEEPINDS,DEEPINDS.NS,,,,0
DEFENCE,DEFENCE.NS,,,,0
DELAPLEX,DELAPLEX.NS,,,,0
DELHIVERY,DELHIVERY.NS,,,,0
DELPHIFX,DELPHIFX.NS,,,,0
DELTACORP,DELTACORP.NS,,,,0
DELTAMAGNT,DELTAMAGNT.NS,,,,0
DEN,DEN.NS,,,,0
DENEERS,DENEERS.NS,,,,0
DENORA,DENORA.NS,,,,0
DENTA,DENTA.NS,,,,0
DENTALKART,DENTALKART.NS,,,,0
DESTINY,DESTINY.NS,,,,0
DEVIT,DEVIT.NS,,,,0
DEVX,DEVX.NS,,,,0
DEVYANI,DEVYANI.NS,,,,0
DGCONTENT,DGCONTENT.NS,,,,0
DHAMPURSUG,DHAMPURSUG.NS,,,,0
DHANBANK,DHANBANK.NS,,,,0
DHANLAXMI,DHANLAXMI.NS,,,,0
DHANUKA,DHANUKA.NS,,,,0
DHARMAJ,DHARMAJ.NS,,,,0
DHRUV,DHRUV.NS,,,,0
DHTL,DHTL.NS,,,,0
DHUNINV,DHUNINV.NS,,,,0
DIACABS,DIACABS.NS,,,,0
DIAMINESQ,DIAMINESQ.NS,,,,0
DIAMONDYD,DIAMONDYD.NS,,,,0
